Month;Real wage
240118;42592.8000000
240118;42649.9000000
240118;42665.5000000
240118;42628.8000000
240118;42642.8000000
240118;42439.4000000
240118;42490.9000000
240118;42581.0000000
240118;42599.1000000
240118;42622.0000000
240118;42670.3000000
240118;42688.0000000
240118;42656.3000000
240118;42614.7000000
240118;42609.9000000
240118;42637.9000000
240118;42580.9000000
240118;42551.6000000
240118;42495.5000000
240118;42495.5000000
240118;42556.3000000
240118;42600.3000000
240118;42643.6000000
240118;42608.3000000
240118;42593.0000000
240118;42576.5000000
240118;42523.5000000
240118;42535.1000000
240118;42550.7000000
240118;42585.8000000
240118;42585.8000000
240118;42618.0000000
240118;42600.0000000
240118;42628.1000000
240118;42639.0000000
240118;42674.7000000
240118;42728.2000000
240118;42753.4000000
240118;42723.2000000
240118;42737.5000000
240118;42759.8000000
240118;42817.9000000
240118;42814.0000000
240118;42846.3000000
240118;42814.8000000
240118;42801.5000000
240118;42780.8000000
240118;42711.2000000
240118;42711.2000000
240118;42700.0000000
240118;42750.0000000
240118;42700.0000000
240118;42667.1000000
240118;42661.0000000
240118;42530.0000000
240118;42379.4000000
240118;42397.8000000
240118;42402.0000000
240118;42379.4000000
240118;42448.1000000
240118;42425.0000000
240118;42334.1000000
240118;42369.9000000
240118;42369.9000000
240118;42349.7000000
240118;42347.2000000
240118;42347.3000000
240118;42499.9000000
240118;42395.2000000
240118;42505.6000000
240118;42449.9000000
240118;42495.9000000
240118;42619.6000000
240118;42681.6000000
240118;42615.2000000
240118;42586.4000000
240118;42434.7000000
240118;42404.9000000
240118;41990.0000000
240118;41666.0000000
240118;41600.0000000
240118;41608.0000000
240118;41815.8000000
240118;41376.4000000
240118;41315.4000000
240118;41405.3000000
240118;41378.2000000
240118;41404.1000000
240118;41165.1000000
240118;41210.2000000
240118;41307.3000000
240118;40800.0000000
240118;40856.8000000
240118;40786.0000000
240118;40625.0000000
240118;40759.1000000
240119;40756.5000000
240119;40728.8000000
240119;40780.7000000
240119;41067.8000000
240119;41029.9000000
240119;41160.3000000
240119;41146.8000000
240119;41251.4000000
240119;41174.5000000
240119;41178.0000000
240119;41244.8000000
240119;41250.0000000
240119;41201.0000000
240119;41114.2000000
240119;41099.3000000
240119;41250.9000000
240119;41200.0000000
240119;41118.6000000
240119;41094.8000000
240119;41248.4000000
240119;41178.2000000
240119;41162.9000000
240119;41056.1000000
240119;41047.9000000
240119;41005.0000000
240119;40900.0000000
240119;40723.6000000
240119;40916.0000000
240119;40999.9000000
240119;41027.3000000
240119;41072.0000000
240119;41050.0000000
240119;41027.3000000
240119;41101.6000000
240119;41120.4000000
240119;41141.6000000
240119;41154.0000000
240119;41193.6000000
240119;41225.3000000
240119;41304.9000000
240119;41359.8000000
240119;41359.8000000
240119;41313.9000000
240119;41229.7000000
240119;41102.0000000
240119;41107.2000000
240119;41136.2000000
240119;41153.3000000
240119;41252.7000000
240119;41254.8000000
240119;41201.6000000
240119;41268.0000000
240119;41355.7000000
240119;41356.6000000
240119;41300.0000000
240119;41307.0000000
240119;41421.8000000
240119;41366.9000000
240119;41374.0000000
240119;41348.8000000
240119;41368.1000000
240119;41289.5000000
240119;41275.0000000
240119;41230.4000000
240119;41262.5000000
240119;41275.4000000
240119;41262.5000000
240119;41262.5000000
240119;41262.5000000
240119;41006.0000000
240119;40919.2000000
